"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"sp_11";"sp_12";"sp_13";"sp_14";"sp_15";"sp_16";"sp_17";"sp_18";"sp_19";"sp_20";"enviro";"enviro2";"env";"site"
"21";6;0;15;13;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;-0,0540766045825026;0,0662006655984205;1,04893476236612;1
"211";0;0;0;0;0;0;0;1;1;0;3;2;0;0;3;6;4;12;8;0;0,0425273782663978;0,0293792724625412;89,5474775228649;2
"212";9;0;9;8;3;4;0;2;0;5;0;0;0;0;0;0;0;0;0;0;-0,0400655143901028;0,0202702512599975;13,884441414848;3
"213";0;0;0;0;0;0;0;0;0;2;1;4;1;3;6;9;3;6;5;0;0,028199377368103;-0,00650828649551724;76,4216501731426;4
"214";1;0;1;0;1;5;1;5;7;4;4;3;1;3;2;1;0;0;0;1;-0,0144102673550665;-0,0281368264758508;37,3871160438284;5
"215";10;0;11;8;4;3;0;3;0;1;0;0;0;0;0;0;0;0;0;0;-0,0491670631192427;0,048539136803019;5,54654709994793;6
"216";1;1;1;2;2;8;0;7;5;2;1;5;0;1;0;1;2;1;0;0;-0,0159534253260096;-0,0265302672668358;35,973434871994;7
"217";10;0;7;2;4;8;3;5;0;1;0;0;0;0;0;0;0;0;0;0;-0,052066007260406;0,0587633240645955;2,89083535317332;8
"218";0;0;0;0;0;0;0;0;0;1;0;3;1;1;7;12;1;8;6;0;0,0409953517353953;0,0248543700362685;88,1439938209951;9
"219";0;2;1;1;0;3;0;5;6;4;2;5;4;2;2;0;1;1;1;0;0,00272482722956374;-0,0347498745812295;53,0845112865791;10
"2110";0;0;0;0;0;0;0;1;0;0;0;3;2;1;5;6;5;9;8;0;0,0529401334996714;0,0644963934754354;99,0865631494671;11
"2111";0;0;0;0;0;1;0;0;1;0;2;0;3;0;3;7;7;8;8;0;0,0439179276365095;0,0336288628017296;90,8213545335457;12
"2112";3;0;6;3;7;5;1;7;4;3;0;0;0;0;0;0;1;0;0;0;-0,0311884874333439;-0,00170335879496641;22,0166521845385;13
