"";"sp_01";"sp_02";"sp_03";"sp_04";"sp_05";"sp_06";"sp_07";"sp_08";"sp_09";"sp_10";"enviro";"enviro2";"env";"site"
"21";7;3;7;1;1;0;1;0;0;0;-0,027622911719358;-0,00799256395872375;24,9358018161729;1
"211";5;4;8;1;0;1;0;1;0;0;-0,027228727032759;-0,00876700093566024;25,2956280484796;2
"212";0;0;0;0;0;0;0;8;2;10;0,0490960267272367;0,0493578962651136;94,9676612624899;3
"213";0;1;7;1;3;3;2;2;0;1;-0,00135193655887964;-0,0354490210111768;48,9169110078365;4
"214";1;1;1;4;7;4;1;1;0;0;-0,0104266084106778;-0,0315101081219952;40,6332178739831;5
"215";1;2;1;7;3;2;1;2;0;1;-0,00722123084816617;-0,0335699499618643;43,5592040186748;6
"216";0;0;0;0;0;1;0;9;0;10;0,0360904465292291;0,0101904251812765;83,0956908874214;7
"217";2;4;9;4;1;0;0;0;0;0;-0,0390342397707211;0,0192139050410441;14,5191232440993;8
"218";1;4;11;1;1;2;0;0;0;0;-0,0333299950162979;0,00445722880885625;19,7261669673026;9
"219";5;4;9;1;1;0;0;0;0;0;-0,0420301561929341;0,0278904496238405;11,7843409068882;10
"2110";1;1;7;4;2;3;2;0;0;0;-0,0155375761752963;-0,0267152975303244;35,9677391359583;11
"2111";0;0;0;0;0;0;1;9;1;9;0,0406205509283233;0,0224688845592132;87,2309362515807;12
"2112";0;0;0;0;0;0;1;9;1;9;0,0343815163772918;0,00593739268525166;81,5357167972252;13
"2113";0;0;0;0;0;0;0;9;0;11;0,0267787553060236;-0,0104679989667484;74,5956377824768;14
"2114";3;6;8;3;0;0;0;0;0;0;-0,0474430094889107;0,0451841303614834;6,84328998904675;15
"2115";2;5;8;2;2;0;1;0;0;0;-0,0277050148935428;-0,00782986994976439;24,8608550289646;16
"2116";4;2;10;3;1;0;0;0;0;0;-0,0403196494980366;0,022858479904255;13,3457541232929;17
"2117";3;3;8;4;2;0;0;0;0;0;-0,0363665532417625;0,0120248420811754;16,9542853021994;18
"2118";0;0;0;0;0;0;0;7;0;13;0,0475190923987106;0,0439683986077324;93,5281777987257;19
"2119";1;5;8;2;1;3;0;0;0;0;-0,0249544733928949;-0,0130194740332176;27,3716501425952;20
"2120";4;4;8;4;0;0;0;0;0;0;-0,0450060838562559;0,0371406231462153;9,06780504155904;21
"2121";0;0;0;4;4;10;0;2;0;0;0,00175098285143578;-0,0354531348666523;51,7493695951998;22
"2122";0;0;0;0;0;0;0;8;0;12;0,0545566881209673;0,069386435443074;99,9523531645536;23
"2123";2;4;5;5;4;0;0;0;0;0;-0,0255560082438177;-0,0119304598917381;26,822547079064;24
"2124";0;0;0;0;0;0;0;10;0;10;0,0207569455212862;-0,0205465335595692;69,0987090580165;25
"2125";0;2;8;5;0;2;2;1;0;0;-0,0182958000389422;-0,0233564080322444;33,4499312797561;26
"2126";0;0;0;0;0;2;0;11;0;7;0,0262037273174856;-0,0115417044814883;74,070731154643;27
"2127";0;0;0;0;2;3;2;6;1;6;0,0145088882779247;-0,0282795236633092;63,3952533593401;28
"2128";0;1;3;4;1;4;4;0;2;1;-0,000529533931180313;-0,0355167572258855;49,6676302747801;29
"2129";7;3;7;3;0;0;0;0;0;0;-0,0359716693516013;0,0110036566526742;17,3147497931495;30
"2130";0;0;0;0;0;1;1;10;0;8;0,0297053951759638;-0,00463914326384762;77,2671819431707;31
"2131";0;0;1;3;1;5;3;2;3;2;0,0100753633188763;-0,0320839040862498;59,3481692485511;32
"2132";1;7;11;0;1;0;0;0;0;0;-0,035593695281157;0,0100365811637807;17,6597783807665;33
"2133";0;1;2;2;6;4;1;3;0;1;-0,00362776447164518;-0,0350110169377056;46,8394518597052;34
"2134";0;0;0;0;0;0;0;10;1;9;0,0477002066793326;0,0445784106060698;93,6935055535287;35
"2135";1;4;11;2;0;1;1;0;0;0;-0,0290577716488082;-0,00508030031258337;23,6260090721771;36
"2136";0;0;1;0;3;0;1;9;0;6;0,0210451720844062;-0,0201228608214105;69,3618128309026;37
"2137";0;0;0;0;0;0;0;9;0;11;0,0343150854327743;0,00577625624422047;81,4750761957839;38
"2138";0;0;0;0;0;0;0;11;1;8;0,0250099950809302;-0,013695639445848;72,9810486081988;39
"2139";0;0;2;6;2;4;0;5;1;0;0,00474798660622266;-0,034807476695446;54,4851444894448;40
"2140";0;0;0;0;0;1;2;5;3;9;0,0200408007158168;-0,0215736565606264;68,4449858264998;41
"2141";0;0;0;0;0;0;0;10;0;10;0,0287551913595811;-0,00659835625719473;76,3998010661453;42
"2142";0;1;0;1;5;5;2;4;1;1;0,0103712179421313;-0,0318735331070298;59,6182361943647;43
"2143";1;0;7;2;5;3;2;0;0;0;-0,00921505588235386;-0,0323745158324145;41,739167436026;44
"2144";0;0;0;0;0;0;0;11;1;8;0,0371932849553747;0,0130452620168541;84,102402231656;45
"2145";4;6;8;1;1;0;0;0;0;0;-0,0329345415964852;0,00351992048278008;20,0871513457969;46
"2146";0;0;0;0;0;0;2;9;0;9;0,0227910898828697;-0,0174302841878006;70,9555506007746;47
"2147";0;0;1;2;4;9;1;3;0;0;-0,00245006951058859;-0,0352836313028611;47,9144949931651;48
"2148";0;0;2;1;5;2;7;2;0;1;0,00349525393917198;-0,0351550061720342;53,3416041871533;49
"2149";0;0;0;0;3;2;4;7;2;2;0,00890647692495724;-0,0328542148590049;58,2811668980867;50
"2150";0;0;0;0;0;0;0;10;0;10;0,0442073640690969;0,0332251931735429;90,5051107751206;51
"2151";5;3;9;1;2;0;0;0;0;0;-0,0529148709692908;0,0647827862314556;1,84837423730642;52
"2152";0;0;0;0;0;1;1;9;0;9;0,039403364930699;0,0190265139162547;86,1198442522436;53
"2153";0;0;0;0;0;1;0;9;0;10;0,0384911790613819;0,0165157483399505;85,2871675509959;54
"2154";3;2;7;1;7;0;0;0;0;0;-0,0265265447967386;-0,0101191903405715;25,9366057347506;55
"2155";0;0;1;2;1;1;2;6;2;5;0,0174152008696699;-0,0250276084702526;66,0482420353219;56
"2156";1;2;4;8;1;2;1;1;0;0;-0,0207210176529542;-0,0199563357316413;31,2361037358642;57
"2157";1;0;0;2;3;1;2;7;0;4;0,0104622963669715;-0,031807518404859;59,7013759193942;58
"2158";6;3;7;1;2;1;0;0;0;0;-0,0514037084265745;0,0591575448010843;3,22781880386174;59
"2159";2;4;12;1;1;0;0;0;0;0;-0,0264236378871108;-0,0103144137054886;26,0305429343134;60
"2160";0;0;0;0;0;0;0;11;0;9;0,0504246474795453;0,0540359095336334;96,1804749909788;61
"2161";0;0;0;0;0;0;0;9;0;11;0,0529217045165087;0,0631673967639209;98,4598801936954;62
"2162";0;0;0;1;0;0;1;8;0;10;0,0406657497849877;0,0225987407528628;87,2721954248846;63
"2163";5;3;8;2;1;0;1;0;0;0;-0,0384350351732337;0,0175550842140024;15,0660991668701;64
"2164";0;0;0;0;0;0;0;8;2;10;0,0522850679531558;0,0607971926911564;97,8787350002676;65
"2165";0;0;0;0;1;0;2;9;1;7;0,0147705829825088;-0,0280113027781352;63,6341378791258;66
"2166";0;1;1;3;1;4;3;2;3;2;-0,000254102413201742;-0,0355286978291953;49,9190542614087;67
"2167";0;0;0;0;0;2;0;9;0;9;0,0333249931920336;0,00341183703097949;80,5712837027386;68
"2168";0;1;2;2;4;3;6;1;1;0;0,0031370814625608;-0,0352338663332812;53,0146512202919;69
"2169";0;0;0;0;0;0;0;9;0;11;0,0311293091377988;-0,00158306619081248;78,5669828066602;70
"2170";0;0;0;0;0;0;0;12;0;8;0,0262703240017889;-0,0114185568245765;74,1315230494365;71
"2171";4;2;12;1;1;0;0;0;0;0;-0,0459160481543824;0,0400947473437716;8,23715627193451;72
"2172";3;3;9;4;1;0;0;0;0;0;-0,0407475250683851;0,0240977027357113;12,9551736172289;73
"2173";0;0;0;0;0;0;0;11;0;9;0,0254136727700947;-0,0129785884860653;73,3495404012501;74
"2174";7;3;6;3;1;0;0;0;0;0;-0,042303036547615;0,02871244170831;11,5352457156405;75
"2175";1;5;12;2;0;0;0;0;0;0;-0,051129793231237;0,0581552817254013;3,47785863559693;76
"2176";1;1;6;5;4;1;2;0;0;0;-0,0139465541435277;-0,0284069078894242;37,4200823716819;77
"2177";0;2;3;3;5;3;3;1;0;0;-0,0115717102016135;-0,0305972162009128;39,5879269810393;78
"2178";0;2;4;3;5;2;2;1;1;0;-0,00636418373355205;-0,0339969845476183;44,3415480433032;79
"2179";4;4;9;2;0;1;0;0;0;0;-0,0516347734852274;0,0600071644056627;3,01689414773136;80
"2180";0;0;0;0;0;0;0;9;0;11;0,0424109836326426;0,0277238297512317;88,8653088593856;81
