NR	ID	LOC	COM	RANK	OLD_ID	X_UTM32	Y_UTM32	X_LAM93	Y_LAM93	X_WGS84	Y_WGS84	ELEV
1	ARA_KS_001	ARA	KS	001	ARA_km	294873	4993841	967058	6446745	6.39427	45.06830	2630
2	ARA_PA_002	ARA	PA	002	ARA_rk	294897	4993800	967086	6446706	6.39459	45.06794	2630
3	ARA_AP_003	ARA	AP	003		294884	4993718	967079	6446624	6.39446	45.06720	2630
4	ARA_SH_004	ARA	SH	004		294879	4993690	967076	6446595	6.39441	45.06694	2630
5	ARA_FG_005	ARA	FG	005		294870	4993811	967057	6446716	6.39425	45.06803	2630
6	ARA_FG_006	ARA	FG	006		294849	4993808	967037	6446711	6.39398	45.06800	2630
7	ARA_FQ_007	ARA	FQ	007		294926	4993829	967112	6446738	6.39495	45.06821	2630
8	ARA_KS_008	ARA	KS	008		294914	4993816	967101	6446723	6.39480	45.06809	2630
9	ARA_SH_009	ARA	SH	009	ARA_sh	294838	4993675	967035	6446578	6.39390	45.06680	2630
10	ARA_PA_010	ARA	PA	010		294798	4993753	966990	6446652	6.39336	45.06749	2630
11	ARA_PA_011	ARA	PA	011		294804	4993753	966996	6446652	6.39343	45.06749	2630
12	ARA_KS_012	ARA	KS	012		294799	4993759	966991	6446658	6.39337	45.06754	2630
13	ARA_KS_013	ARA	KS	013		294793	4993765	966984	6446663	6.39329	45.06759	2630
14	ARA_AP_014	ARA	AP	014		294838	4993755	967030	6446657	6.39386	45.06752	2630
15	ARA_FG_015	ARA	FG	015		294881	4993799	967069	6446704	6.39439	45.06792	2630
16	ARA_FG_016	ARA	FG	016	ARA_fv	294888	4993810	967076	6446716	6.39448	45.06803	2630
17	ARA_SH_017	ARA	SH	017		294896	4993717	967090	6446624	6.39461	45.06719	2630
18	ARA_SH_018	ARA	SH	018		294907	4993755	967099	6446662	6.39474	45.06754	2630
19	ARA_AP_019	ARA	AP	019		294912	4993760	967104	6446668	6.39480	45.06758	2630
20	ARA_AP_020	ARA	AP	020		294901	4993649	967100	6446556	6.39471	45.06658	2630
21	ARA_SH_021	ARA	SH	021		294905	4993642	967105	6446549	6.39476	45.06652	2630
22	ARA_CR_022	ARA	CR	022		294915	4993644	967115	6446552	6.39489	45.06654	2630
23	ARA_KS_023	ARA	KS	023		294924	4993648	967124	6446557	6.39500	45.06658	2630
24	ARA_PS_024	ARA	PS	024		294931	4993776	967121	6446685	6.39503	45.06773	2630
25	ARA_FQ_025	ARA	FQ	025		294977	4993837	967162	6446749	6.39559	45.06829	2630
26	ARA_FQ_026	ARA	FQ	026		294932	4993681	967129	6446590	6.39509	45.06688	2630
27	ARA_CR_027	ARA	CR	027		294954	4993810	967141	6446720	6.39531	45.06804	2630
28	ARA_CR_028	ARA	CR	028		294946	4993705	967141	6446615	6.39525	45.06710	2630
29	ARA_PA_029	ARA	PA	029		294911	4993711	967105	6446619	6.39481	45.06714	2630
30	ARA_SH_030	ARA	SH	030		294912	4993699	967108	6446607	6.39483	45.06703	2630
31	ARA_PA_031	ARA	PA	031		294945	4993796	967134	6446706	6.39520	45.06792	2630
32	ARA_PA_032	ARA	PA	032		294942	4993822	967129	6446732	6.39516	45.06815	2630
33	ARA_SH_033	ARA	SH	033		294826	4993646	967026	6446547	6.39376	45.06653	2630
34	ARA_CF_034	ARA	CF	034	ARA_cf	294835	4993688	967032	6446590	6.39385	45.06691	2630
35	ARA_CF_035	ARA	CF	035		294823	4993695	967019	6446596	6.39370	45.06697	2630
36	ARA_AP_036	ARA	AP	036	ARA_ap	294926	4993744	967118	6446653	6.39498	45.06744	2630
37	ARA_PS_037	ARA	PS	037		294929	4993738	967122	6446647	6.39502	45.06739	2630
38	ARA_PS_038	ARA	PS	038		294950	4993737	967142	6446648	6.39529	45.06739	2630
39	ARA_PA_039	ARA	PA	039		294910	4993802	967098	6446710	6.39476	45.06796	2630
40	ARA_PA_040	ARA	PA	040		294913	4993800	967101	6446707	6.39480	45.06794	2630
41	ARA_SH_041	ARA	SH	041		294882	4993698	967078	6446604	6.39444	45.06702	2630
42	ARA_AP_042	ARA	AP	042		294884	4993700	967080	6446606	6.39447	45.06703	2630
